MM,YYYY,Date,HRS,MIN,Nest_Type,Nest_Disturbance,Y,X
10,2018,10/26/2018,,,Nest,Secure,-3.071993,126.563013
10,2018,10/31/2018,,,False_Crawls,Non_Nesting,-3.072252,126.556419
11,2018,11/1/2018,,,Nest,Secure,-3.072531,126.543148
11,2018,11/2/2018,,,Nest,Lost,-3.071499,126.522684
11,2018,11/9/2018,20,15,Nesting_Individu,Secure,-3.072357,126.553583
11,2018,11/9/2018,,,False_Crawls,Non_Nesting,-3.072241,126.554084
11,2018,11/9/2018,1,35,Nesting_Individu,Secure,-3.07224,126.553805
11,2018,11/11/2018,4,0,Nesting_Individu,Secure,-3.071894,126.565161
11,2018,11/25/2018,,,Nest,Secure,-3.069183,126.617774
11,2018,11/28/2018,,,Nest,Secure,-3.069439,126.621215
12,2018,12/3/2018,,,Nest,Lost,-3.071894,126.567211
12,2018,12/5/2018,,,Nest,Secure,-3.069331,126.620145
12,2018,12/7/2018,,,Nest,Secure,-3.069087,126.618812
12,2018,12/7/2018,,,Nest,Secure,-3.069305,126.620623
12,2018,12/13/2018,,,Nest,Lost,-3.07196,126.563739
12,2018,12/14/2018,,,Nest,Secure,-3.071995,126.56222
12,2018,12/14/2018,,,Nest,Secure,-3.071964,126.565035
12,2018,12/17/2018,,,Nest,Secure,-3.072492,126.54527
12,2018,12/22/2018,,,Nest,Secure,-3.071947,126.56625
12,2018,12/29/2018,,,Nest,Lost,-3.071985,126.567188
1,2019,1/3/2019,,,Nest,Secure,-3.069734,126.582457
1,2019,1/3/2019,,,Nest,Secure,-3.069685,126.5844
1,2019,1/7/2019,,,Nest,Secure,-3.071875,126.564265
1,2019,1/10/2019,,,Nest,Lost,-3.071979,126.565256
1,2019,1/10/2019,,,Nest,Secure,-3.069596,126.620156
1,2019,1/17/2019,,,Nest,Secure,-3.07195,126.564823
1,2019,1/18/2019,,,Nest,Secure,-3.071935,126.564871
2,2019,2/3/2019,,,Nest,Secure,-3.06431,126.597804
2,2019,2/6/2019,,,False_Crawls,Non_Nesting,-3.072233,126.552968
2,2019,2/6/2019,,,False_Crawls,Non_Nesting,-3.072332,126.542937
2,2019,2/9/2019,,,Nest,Secure,-3.072344,126.553169
2,2019,2/10/2019,,,False_Crawls,Non_Nesting,-3.072303,126.542007
2,2019,2/10/2019,,,False_Crawls,Non_Nesting,-3.072527,126.543023
2,2019,2/11/2019,,,Nest,Lost,-3.070914,126.572851
2,2019,2/15/2019,,,Nest,Secure,-3.071382,126.519541
2,2019,2/16/2019,,,Nest,Secure,-3.071972,126.563031
3,2019,3/4/2019,,,Nest,Secure,-3.069079,126.618038
3,2019,3/4/2019,,,Nest,Secure,-3.07193,126.56509
3,2019,3/8/2019,,,Nest,Secure,-3.072316,126.547944
3,2019,3/18/2019,,,False_Crawls,Non_Nesting,-3.072464,126.54501
4,2019,4/7/2019,,,Nest,Secure,-3.072456,126.546796
4,2019,4/7/2019,,,Nest,Secure,-3.071954,126.566422
4,2019,4/9/2019,,,Nest,Secure,-3.071561,126.520519
4,2019,4/18/2019,23,27,Nesting_Individu,Secure,-3.071005,126.572047
4,2019,4/20/2019,1,5,Nesting_Individu,Secure,-3.071957,126.566554
4,2019,4/27/2019,,,Nest,Secure,-3.071974,126.567311
4,2019,4/29/2019,,,Nest,Secure,-3.072268,126.552118
4,2019,4/29/2019,,,Nest,Secure,-3.07191,126.563977
5,2019,5/6/2019,,,False_Crawls,Non_Nesting,-3.071867,126.567813
5,2019,5/7/2019,,,False_Crawls,Non_Nesting,-3.072251,126.555108
5,2019,5/7/2019,,,Nest,Secure,-3.071945,126.566469
5,2019,5/8/2019,,,Nest,Secure,-3.070717,126.574658
5,2019,5/9/2019,,,False_Crawls,Non_Nesting,-3.072309,126.545823
5,2019,5/9/2019,,,Nest,Secure,-3.070082,126.579044
5,2019,5/12/2019,,,Nest,Lost,-3.069561,126.622724
5,2019,5/15/2019,,,Nest,Secure,-3.069587,126.623453
5,2019,5/16/2019,,,Nest,Secure,-3.07174,126.569349
5,2019,5/20/2019,23,5,False_Crawls,Non_Nesting,-3.07235,126.544749
5,2019,5/20/2019,,,Nest,Secure,-3.069463,126.620067
5,2019,5/21/2019,,,False_Crawls,Non_Nesting,-3.071888,126.567764
5,2019,5/21/2019,,,Nest,Secure,-3.071876,126.568196
5,2019,5/22/2019,,,False_Crawls,Non_Nesting,-3.069292,126.586724
5,2019,5/22/2019,22,5,Nesting_Individu,Secure,-3.071511,126.570136
5,2019,5/23/2019,22,11,Nesting_Individu,Secure,-3.069145,126.617724
5,2019,5/25/2019,,,Nest,Secure,-3.069997,126.579804
5,2019,5/25/2019,,,Nest,Secure,-3.069094,126.616707
5,2019,5/26/2019,,,Nest,Secure,-3.072042,126.562774
6,2019,6/4/2019,,,Nest,Secure,-3.071877,126.564348
6,2019,6/5/2019,,,False_Crawls,Non_Nesting,-3.072238,126.551992
6,2019,6/5/2019,,,Nest,Secure,-3.067734,126.591111
6,2019,6/6/2019,,,Nest,Secure,-3.071932,126.564358
6,2019,6/7/2019,,,False_Crawls,Non_Nesting,-3.072454,126.547357
6,2019,6/10/2019,,,Nest,Secure,-3.071935,126.566736
6,2019,6/12/2019,,,Nest,Secure,-3.071605,126.570211
6,2019,6/12/2019,,,Nest,Secure,-3.071945,126.566841
